Tweet,Tweet,0.0
RT @LizbethCaro07: @El_Universal_Mx @cuauhtemocb10 @lopezobrador_ Así son de llorones los del América,RT @ LizbethCaro07: @El_Universal_Mx @ cuauhtemocb10 @lopezobrador_ This is how those of America are weeping,0.0
Ojo @PartidoMorenaMx @lopezobrador_ @tatclouthier @yeidckol  https://t.co/F20wuAkPyh,Eye @PartidoMorenaMx @lopezobrador_ @tatclouthier @yeidckol https://t.co/F20wuAkPyh,0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @EuniceRendon: Como parte de la estrategia de pacificación y reconciliación nacional de @lopezobrador_, se llevarán a cabo 18 foros y 25…","RT @EuniceRendon: As part of the strategy of pacification and national reconciliation of @lopezobrador_, 18 forums will be held and 25 ...",0.0
"RT @epigmenioibarra: Yo tengo Presidente no Tlatoani
No exijo a @lopezobrador_ sacrificios humanos para legitimarse.
Los quinazos, meter a…","RT @epigmenioibarra: I have President not Tlatoani
I do not demand @lopezobrador_ human sacrifices to legitimize.
Los quinazos, tuck ...",0.0
"RT @lopezobrador_: Continuamos con el trabajo de campo para iniciar, desde el 1 de diciembre, el programa de siembra de un millón de hectár…","RT @lopezobrador_: We continue with the field work to start, from December 1, the sowing program of one million hectares ...",0.0
Te lo dije amigo ... @tonibalanza1 meterá a la carcel a los que sabe que en seis años pueden quitarles el pastel ..… https://t.co/bzYf3fNmrZ,I told you friend ... @ tonibalanza1 put to jail to those who know that in six years they can remove the cake .. ... https://t.co/bzYf3fNmrZ,0.0
@lopezobrador_  https://t.co/J7GpaTmDAO,@lopezobrador_ https://t.co/J7GpaTmDAO,0.0
RT @m_zamarripa: Difiero @DiegoPetersen en que ”Algo similar le puede ocurrir a #AMLO si no administra su capital político”. Fox no tenia i…,"RT @m_zamarripa: Difiero @DiegoPetersen in that ""Something similar can happen to #AMLO if it does not manage its political capital"". Fox did not have i ...",0.0
RT @nero_vermx: @cesamo70 @armandobon64 @TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Decía Porfirio Díaz cuando algú…,RT @nero_vermx: @ cesamo70 @ armandobon64 @ TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Porfirio Díaz said when some ...,0.0
@PabloHiriart @szurita @lopezobrador_ @JoseAMeadeK Que pregunta tan absurda...acaso lo hizo en las elecciones pasadas??? 🤦🏻‍♀️,RT @nero_vermx: @ cesamo70 @ armandobon64 @ TiburonJaro8 @_KatKaramelo_ @lopezobrador_ @rocionahle @Narusailor Porfirio Díaz said when some ...,0.0
RT @LaydaSansores: “Hay que poner orden en el sector energético” -dice @lopezobrador_ al defender el nombramiento de @ManuelBartlett.- “Hoy…,"RT @LaydaSansores: ""We must put order in the energy sector"" -says @lopezobrador_ when defending the appointment of @ ManuelBartlett.- ""Today ...",0.0
"RT @vobymx: @lopezobrador_ ¿Qué o quién es AGROMOD?, ¿acaso le vamos a comprar los arbolitos a AGROMOD? Digo si se puede saber","RT @vobymx: @lopezobrador_ What or who is AGROMOD ?, are we going to buy the trees from AGROMOD? I say if you can know",0.0
RT @Ser_Imperial: @lopezobrador_  https://t.co/yjAwCXUwQ6,RT @Ser_Imperial: @lopezobrador_ https://t.co/yjAwCXUwQ6,0.0
RT @luieslo: @lopezobrador_ Quien es el dueño de Agromod? Alfonso Romo...que no se va a licitar este contrato?? Ya empezó la repartición? @…,RT @luieslo: @lopezobrador_ Who is the owner of Agromod? Alfonso Romo ... who is not going to bid this contract? Has the distribution started? @ ...,0.0
"@vax_jj @lili_0069 @rhgirard @econokafka @lopezobrador_ @ABarrancoCh https://t.co/mS7CVGAnfG No soy tu chairo, mejo… https://t.co/BCNkYcbpd1","@vax_jj @ lili_0069 @rhgirard @econokafka @lopezobrador_ @ABarrancoCh https://t.co/mS7CVGAnfG No soy tu chairo, mejo ... https://t.co/BCNkYcbpd1",0.0
"RT @RaymundoUtrera: @nhassoeh @AlmendraYek @PedroRamosFranc @Monicucha @PabloHiriart @lopezobrador_ @JoseAMeadeK ¿Recibir la crítica?, ja!,…","RT @RaymundoUtrera: @nhassoeh @AlmendraYek @PedroRamosFranc @Monicucha @PabloHiriart @lopezobrador_ @JoseAMeadeK ¿Recibir la crítica ?, ja !, ...",0.0
RT @delgado1961: @lopezobrador_ Solo una pegunta? De quien Agromod? Nos es de Romo?,RT @ delgado1961: @lopezobrador_ Just one question? From whom Agromod? Is it from Romo?,0.0
@miositopanzon @Wilfrid78276543 @rocionahle @lopezobrador_ Esos van pa secretarias...,@miositopanzon @ Wilfrid78276543 @rocionahle @lopezobrador_ These van pa secretaries ...,0.0
"RT @jgnaredo: Dice @jorgeramosnews que @lopezobrador_ comienza a “traicionar” a sus votantes por haber nombrado a Bartlett en la CFE.

Duda…","RT @jgnaredo: @jorgeramosnews says that @lopezobrador_ begins to ""betray"" its voters for having named Bartlett in the CFE.

Doubt…",0.0
"RT @koyuca: @lopezobrador_ otro negocio de tu cómplice alfonso romo, presidente del grupo plenus dueño de agromod y no, no es casualidad ht…","RT @koyuca: @lopezobrador_ another business of your accomplice alfonso romo, president of the group plenus owner of agromod and no, it's no accident ht ...",0.0
https://t.co/7uGotPIh4Y,https://t.co/7uGotPIh4Y,0.0
"RT @QuesaVerdades: Me acaban de mandar un mensaje a la página de facebook diciendo que el proyecto de crear 400,000 empleos en la siembra d…","RT @QuesaVerdades: I just sent a message to the facebook page saying that the project to create 400,000 jobs in the sowing of ...",0.0
#Destacado Asegura @lopezobrador_ que no será tapadera de nadie | https://t.co/4aVGqma1LA,#Destacado Secures @lopezobrador_ that will not be anyone's cover | https://t.co/4aVGqma1LA,0.0
