Ridículos!!,Ridiculous!,-0.41666666666666663
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
"RT @luisantgarcia: El único artículo que debiera tener la #ConstitucionMoral de @lopezobrador_:

1. Es inmoral (e ilegal) que un Estado lai…","RT @luisantgarcia: The only article that should have the #ConstitucionMoral de @lopezobrador_:

1. It is immoral (and illegal) for a State to ...",-0.25
RT @18Lalogonzalez: Sr. @lopezobrador_ Yo voté por usted y trabajé mucho para que no le impactarán las injurias que nos hacían a usted y a…,RT @ 18Lalogonzalez: Mr. @lopezobrador_ I voted for you and worked hard so that you would not be shocked by the insults that were made to you and ...,-0.49583333333333335
"RT @DiegoPetersen: Llámenlo como quieran, pero el triunfo de @lopezobrador_ ha metido al país a discutir cosas que antes parecían inamovibl…","RT @DiegoPetersen: Call it what you want, but the triumph of @lopezobrador_ has got the country to discuss things that previously seemed immovable ...",-0.16666666666666666
"RT @multitud666: esta cuenta falsa, no es de #LópezObrador ABUSADO mexicano la cuenta de LópezObrador es está @lopezobrador_ https://t.co/o…",RT @ multitud666: this false account is not from # LópezObrador ABUSADO mexicano the account of LópezObrador is está @lopezobrador_ https://t.co/o...,-0.4000000000000001
"RT @epigmenioibarra: No toca a @lopezobrador_ actuar contra corruptos,no debe el presidente hacer -como en el pasado- que fiscales y jueces…","RT @epigmenioibarra: It's not up to @lopezobrador_ to act against corrupt people, the president should not do - as in the past - prosecutors and judges ...",-0.375
"AMLO es mi pastor, nada me faltara","AMLO is my pastor, nothing will be missing",-0.2
"Señor @lopezobrador_  ahora que va a mover a las dependencias a distintos lugares de la República, no podrá mandar al @SATMX a la chingada?","Señor @lopezobrador_ Now that you are going to move the dependencies to different places in the Republic, you can not send the @SATMX to the fuck?",-0.2
"RT @nestora_salgado: En la #reconciliación caben las disculpas públicas por difamaciones, calumnias, ofensas y un largo etc. También su rec…","RT @nestora_salgado: In the # reconciliation, public apologies for defamation, slander, offenses and a long etc. Also your rec ...",-0.025
"RT @xagovi1958: Definitivamente creo que @lopezobrador_  debe auditar a @EPN por este y otros rubros? 
@tatclouthier,  como vocera de AMLO…","RT @ xagovi1958: Definitely I think that @lopezobrador_ should audit @EPN for this and other items?
@tatclouthier, as spokesperson for AMLO ...",-0.0625
